(21:58:29) main                               Translate-Bot   INFO   Hi
(21:59:26) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:02:07) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:02:07) main                               Translate-Bot   INFO   Reading config file \.txt
(22:06:15) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:06:15) main                               Translate-Bot   INFO   Reading config file \config.txt
(22:06:46) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:06:46) main                               Translate-Bot   INFO   Reading config file config.txt
(22:06:46) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:27:25) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:27:25) main                               Translate-Bot   INFO   Reading config file config.txt
(22:27:25) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:31:27) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:31:27) main                               Translate-Bot   INFO   Reading config file config.txt
(22:31:27) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:32:06) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:32:06) main                               Translate-Bot   INFO   Reading config file config.txt
(22:32:06) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:33:36) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:33:36) main                               Translate-Bot   INFO   Reading config file config.txt
(22:33:36) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:33:57) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:33:57) main                               Translate-Bot   INFO   Reading config file config.txt
(22:33:57) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:34:11) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:34:11) main                               Translate-Bot   INFO   Reading config file config.txt
(22:34:11) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:35:41) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:35:41) main                               Translate-Bot   INFO   Reading config file config.txt
(22:35:41) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:38:33) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:38:33) main                               Translate-Bot   INFO   Reading config file config.txt
(22:38:33) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:38:35) main                               Translate-Bot   INFO   https://discord.com/oauth2/authorize?client_id=1141212760953323610&scope=bot%20applications.commands&permissions=8192&prompt=consent
(22:40:07) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:40:07) main                               Translate-Bot   INFO   Reading config file config.txt
(22:40:07) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:40:40) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:40:40) main                               Translate-Bot   INFO   Reading config file config.txt
(22:40:40) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:40:42) main                               Translate-Bot   INFO   https://discord.com/oauth2/authorize?client_id=1141212760953323610&scope=bot%20applications.commands&permissions=8192&prompt=consent
(22:40:42) main                               Translate-Bot   INFO   Found 1 commands in me.graza.tbot.command
(22:41:12) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:41:12) main                               Translate-Bot   INFO   Reading config file config.txt
(22:41:12) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:41:14) main                               Translate-Bot   INFO   https://discord.com/oauth2/authorize?client_id=1141212760953323610&scope=bot%20applications.commands&permissions=8192&prompt=consent
(22:41:14) main                               Translate-Bot   INFO   Found 1 commands in me.graza.tbot.command
(22:42:33) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:42:33) main                               Translate-Bot   INFO   Reading config file config.txt
(22:42:33) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:42:36) main                               Translate-Bot   INFO   Found 1 commands in me.graza.tbot.command
(22:49:53) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:49:53) main                               Translate-Bot   INFO   Reading config file config.txt
(22:49:53) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:49:55) main                               Translate-Bot   INFO   Found 1 commands in me.graza.tbot.command
(22:51:03) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:51:03) main                               Translate-Bot   INFO   Reading config file config.txt
(22:51:03) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:51:03) main                               Translate-Bot   INFO   Creating Discord API link
(22:51:05) main                               Translate-Bot   INFO   Creating command registry
(22:51:05) main                               Translate-Bot   INFO   Found 1 commands in me.graza.tbot.command
(22:52:45) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:52:45) main                               Translate-Bot   INFO   Reading config file config.txt
(22:52:45) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:52:45) main                               Translate-Bot   INFO   Creating Discord API link
(22:52:47) main                               Translate-Bot   INFO   Creating command registry
(22:52:47) main                               Translate-Bot   INFO   Found 1 commands in me.graza.tbot.command
(22:53:45) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:53:45) main                               Translate-Bot   INFO   Reading config file config.txt
(22:53:45) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:53:45) main                               Translate-Bot   INFO   Creating Discord API link
(22:53:47) main                               Translate-Bot   INFO   Creating command registry
(22:53:48) main                               Translate-Bot   INFO   Found 1 commands in me.graza.tbot.command
(22:55:03) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:55:03) main                               Translate-Bot   INFO   Reading config file config.txt
(22:55:03) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:55:03) main                               Translate-Bot   INFO   Creating Discord API link
(22:55:05) main                               Translate-Bot   INFO   Creating command registry
(22:55:05) main                               Translate-Bot   INFO   Found 1 commands in me.graza.tbot.command
(22:55:10) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(22:55:10) main                               Translate-Bot   INFO   Reading config file config.txt
(22:55:10) main                               Translate-Bot   INFO   Loaded 1 config keys
(22:55:10) main                               Translate-Bot   INFO   Creating Discord API link
(22:55:11) main                               Translate-Bot   INFO   Creating command registry
(22:55:12) main                               Translate-Bot   INFO   Found 1 commands in me.graza.tbot.command
(23:12:54) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(23:12:54) main                               Translate-Bot   INFO   Reading config file config.txt
(23:12:54) main                               Translate-Bot   INFO   Loaded 2 config keys
(23:12:54) main                               Translate-Bot   INFO   Creating Discord API link
(23:12:56) main                               Translate-Bot   INFO   Creating command registry
(23:12:56) main                               Translate-Bot   INFO   Found 2 commands in me.graza.tbot.command
(23:24:54) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(23:24:54) main                               Translate-Bot   INFO   Reading config file config.txt
(23:24:54) main                               Translate-Bot   INFO   Loaded 2 config keys
(23:24:54) main                               Translate-Bot   INFO   Creating Discord API link
(23:24:56) main                               Translate-Bot   INFO   Creating command registry
(23:24:56) main                               Translate-Bot   INFO   Found 2 commands in me.graza.tbot.command
(23:25:13) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(23:25:13) main                               Translate-Bot   INFO   Reading config file config.txt
(23:25:13) main                               Translate-Bot   INFO   Loaded 2 config keys
(23:25:13) main                               Translate-Bot   INFO   Creating Discord API link
(23:25:15) main                               Translate-Bot   INFO   Creating command registry
(23:25:15) main                               Translate-Bot   INFO   Found 2 commands in me.graza.tbot.command
(23:25:22) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(23:25:22) main                               Translate-Bot   INFO   Reading config file config.txt
(23:25:22) main                               Translate-Bot   INFO   Loaded 2 config keys
(23:25:22) main                               Translate-Bot   INFO   Creating Discord API link
(23:25:23) main                               Translate-Bot   INFO   Creating command registry
(23:25:24) main                               Translate-Bot   INFO   Found 2 commands in me.graza.tbot.command
(23:44:59) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(23:44:59) main                               Translate-Bot   INFO   Reading config file config.txt
(23:44:59) main                               Translate-Bot   INFO   Loaded 2 config keys
(23:44:59) main                               Translate-Bot   INFO   Creating Discord API link
(23:45:01) main                               Translate-Bot   INFO   Creating command registry
(23:45:02) main                               Translate-Bot   INFO   Found 3 commands in me.graza.tbot.command
(23:47:39) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(23:47:39) main                               Translate-Bot   INFO   Reading config file config.txt
(23:47:39) main                               Translate-Bot   INFO   Loaded 2 config keys
(23:47:39) main                               Translate-Bot   INFO   Creating Discord API link
(23:47:41) main                               Translate-Bot   INFO   Creating command registry
(23:47:42) main                               Translate-Bot   INFO   Found 3 commands in me.graza.tbot.command
(23:49:38) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(23:49:38) main                               Translate-Bot   INFO   Reading config file config.txt
(23:49:38) main                               Translate-Bot   INFO   Loaded 2 config keys
(23:49:38) main                               Translate-Bot   INFO   Creating Discord API link
(23:49:39) main                               Translate-Bot   INFO   Creating command registry
(23:49:40) main                               Translate-Bot   INFO   Found 3 commands in me.graza.tbot.command
(23:50:02) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(23:50:02) main                               Translate-Bot   INFO   Reading config file config.txt
(23:50:02) main                               Translate-Bot   INFO   Loaded 2 config keys
(23:50:02) main                               Translate-Bot   INFO   Creating Discord API link
(23:50:04) main                               Translate-Bot   INFO   Creating command registry
(23:50:04) main                               Translate-Bot   INFO   Found 3 commands in me.graza.tbot.command
(23:50:45) main                               Translate-Bot   INFO   Starting translate-bot 1.0.0+1-5218cd6/main
(23:50:45) main                               Translate-Bot   INFO   Reading config file config.txt
(23:50:45) main                               Translate-Bot   INFO   Loaded 2 config keys
(23:50:45) main                               Translate-Bot   INFO   Creating Discord API link
(23:50:46) main                               Translate-Bot   INFO   Creating command registry
(23:50:47) main                               Translate-Bot   INFO   Found 3 commands in me.graza.tbot.command
